ph_mode,ph_metric,other_metric,n,pearson,spearman
full_vr,total_persistence_h1,effective_rank,1664,0.7322916840230013,0.9145747997713127
full_vr,total_persistence_h1,top_k_variance_fraction,1664,-0.7002996025574111,-0.7991618169730957
full_vr,total_persistence_h1,mean_pairwise_distance,1664,0.048051424295504554,0.3603383806035489
full_vr,total_persistence_h1,median_pairwise_distance,1664,0.004267142471386319,0.3444523088400729
full_vr,total_persistence_h1,std_pairwise_distance,1664,-0.1273600115251874,0.1718255649719091
full_vr,total_persistence_h1,q10_pairwise_distance,1664,0.908870829341196,0.923557293185028
full_vr,total_persistence_h1,q50_pairwise_distance,1664,0.004267142471386319,0.3444523088400729
full_vr,total_persistence_h1,q90_pairwise_distance,1664,-0.0015583765772444011,0.34291810112380144
full_vr,total_persistence_h1,projection_residual,208,-0.18149589703331814,-0.05862162314817563
full_vr,max_persistence_h1,effective_rank,1664,0.5463231833424824,0.6908633326960385
full_vr,max_persistence_h1,top_k_variance_fraction,1664,-0.5241967134718194,-0.5184991939347774
full_vr,max_persistence_h1,mean_pairwise_distance,1664,-0.08782636557591386,0.07769966872999698
full_vr,max_persistence_h1,median_pairwise_distance,1664,-0.12785781221953726,0.05999379189696152
full_vr,max_persistence_h1,std_pairwise_distance,1664,-0.237733478251762,-0.02612564523326864
full_vr,max_persistence_h1,q10_pairwise_distance,1664,0.754877868556523,0.7521281142646734
full_vr,max_persistence_h1,q50_pairwise_distance,1664,-0.12785781221953726,0.05999379189696152
full_vr,max_persistence_h1,q90_pairwise_distance,1664,-0.1293010128588288,0.05828518860800305
full_vr,max_persistence_h1,projection_residual,208,-0.21307336041068675,-0.1687881893340258
full_vr,top5_persistence_h1,effective_rank,1664,0.5678188512019565,0.7938581665646046
full_vr,top5_persistence_h1,top_k_variance_fraction,1664,-0.5447869444853666,-0.6326474999542291
full_vr,top5_persistence_h1,mean_pairwise_distance,1664,0.006125125585909215,0.2456199575196908
full_vr,top5_persistence_h1,median_pairwise_distance,1664,-0.037559350740425664,0.22501130137141323
full_vr,top5_persistence_h1,std_pairwise_distance,1664,-0.15570358621183245,0.11530381290695023
full_vr,top5_persistence_h1,q10_pairwise_distance,1664,0.8363433930310724,0.8746399035204379
full_vr,top5_persistence_h1,q50_pairwise_distance,1664,-0.037559350740425664,0.22501130137141323
full_vr,top5_persistence_h1,q90_pairwise_distance,1664,-0.0382910732679514,0.22569220928099948
full_vr,top5_persistence_h1,projection_residual,208,-0.22007293453646556,-0.17279040689476338
full_vr,betti_curve_area_h1,effective_rank,1664,0.7330895397444717,0.9156346280960591
full_vr,betti_curve_area_h1,top_k_variance_fraction,1664,-0.7010867119304591,-0.8005850460866872
full_vr,betti_curve_area_h1,mean_pairwise_distance,1664,0.04799301954883972,0.35919283190357754
